prediction_time,image_time,forecast_end,prediction_label,probability,image_path,pred_binary,gt_label,matched_goes
2026-03-25T20:51:26.050005,2/16/2026 9:00,2/16/2026 21:00,Flare,0.523523927,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_09.00.00.jpg,1,1,"C1.1, C1.0, B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.122976,2/16/2026 10:00,2/16/2026 22:00,No Flare,0.50374043,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_10.00.00.jpg,0,1,"C1.1, C1.0, B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.199729,2/16/2026 11:00,2/16/2026 23:00,No Flare,0.516765356,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_11.00.00.jpg,0,1,"C1.1, C1.0, B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.282796,2/16/2026 12:00,2/17/2026 0:00,No Flare,0.512566805,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_12.00.00.jpg,0,1,"C1.1, C1.0, B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.361863,2/16/2026 13:00,2/17/2026 1:00,Flare,0.546820641,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_13.00.00.jpg,1,1,"B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.444430,2/16/2026 14:00,2/17/2026 2:00,Flare,0.516717851,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_14.00.00.jpg,1,1,"B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.525214,2/16/2026 15:00,2/17/2026 3:00,No Flare,0.610599995,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_15.00.00.jpg,0,1,"B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.609904,2/16/2026 16:00,2/17/2026 4:00,No Flare,0.586652935,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_16.00.00.jpg,0,1,"B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:26.687694,2/16/2026 17:00,2/17/2026 5:00,No Flare,0.627265275,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_17.00.00.jpg,0,1,"B6.3, B7.2, B7.3, C1.0"
2026-03-25T20:51:26.760678,2/16/2026 18:00,2/17/2026 6:00,No Flare,0.64150703,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_18.00.00.jpg,0,1,"B7.2, B7.3, C1.0"
2026-03-25T20:51:26.833620,2/16/2026 19:00,2/17/2026 7:00,No Flare,0.799739182,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_19.00.00.jpg,0,1,C1.0
2026-03-25T20:51:26.906479,2/16/2026 20:00,2/17/2026 8:00,No Flare,0.83180058,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_20.00.00.jpg,0,1,C1.0
2026-03-25T20:51:26.981741,2/16/2026 21:00,2/17/2026 9:00,No Flare,0.818742752,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_21.00.00.jpg,0,1,C1.0
2026-03-25T20:51:27.063703,2/16/2026 22:00,2/17/2026 10:00,No Flare,0.750609934,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_22.00.00.jpg,0,1,C1.0
2026-03-25T20:51:27.137038,2/16/2026 23:00,2/17/2026 11:00,No Flare,0.819806695,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_23.00.00.jpg,0,1,C1.0
2026-03-25T20:51:27.209856,2/17/2026 0:00,2/17/2026 12:00,No Flare,0.886399925,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_00.00.00.jpg,0,1,C1.0
2026-03-25T20:51:27.282120,2/17/2026 1:00,2/17/2026 13:00,No Flare,0.81715095,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_01.00.00.jpg,0,1,C1.0
2026-03-25T20:51:27.353727,2/17/2026 2:00,2/17/2026 14:00,No Flare,0.860022247,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_02.00.00.jpg,0,1,C1.0
2026-03-25T20:51:27.426258,2/17/2026 3:00,2/17/2026 15:00,No Flare,0.821238399,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_03.00.00.jpg,0,1,C1.0
2026-03-25T20:51:27.504129,2/17/2026 4:00,2/17/2026 16:00,No Flare,0.826273024,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_04.00.00.jpg,0,1,"C1.0, B9.8"
2026-03-25T20:51:27.581273,2/17/2026 5:00,2/17/2026 17:00,No Flare,0.881618798,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_05.00.00.jpg,0,1,B9.8
2026-03-25T20:51:27.660273,2/17/2026 6:00,2/17/2026 18:00,No Flare,0.855492175,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_06.00.00.jpg,0,1,B9.8
2026-03-25T20:51:27.758653,2/17/2026 7:00,2/17/2026 19:00,No Flare,0.867621481,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_07.00.00.jpg,0,1,"B9.8, C1.1"
2026-03-25T20:51:27.836500,2/17/2026 8:00,2/17/2026 20:00,No Flare,0.873126268,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_08.00.00.jpg,0,1,"B9.8, C1.1"
2026-03-25T20:51:27.916735,2/17/2026 9:00,2/17/2026 21:00,No Flare,0.863913238,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_09.00.00.jpg,0,1,"B9.8, C1.1"
2026-03-25T20:51:27.999313,2/17/2026 10:00,2/17/2026 22:00,No Flare,0.868160725,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_10.00.00.jpg,0,1,"B9.8, C1.1"
