Start,GOES Class,Class_Type
2026-01-21 19:47:00,C7.6,C
2026-01-21 20:47:00,C3.2,C
2026-01-22 01:03:00,C2.2,C
2026-01-22 03:39:00,C2.1,C
2026-01-22 09:22:00,C1.6,C
2026-01-22 09:36:00,C1.7,C
2026-01-22 10:33:00,C8.3,C
2026-01-22 12:18:00,C2.3,C
2026-01-22 17:02:00,C4.3,C
2026-01-22 17:33:00,C2.6,C
2026-01-22 19:34:00,C1.9,C
2026-01-22 19:43:00,C9.5,C
2026-01-22 21:16:00,C2.3,C
2026-01-22 22:29:00,C1.9,C
2026-01-22 22:56:00,C2.1,C
2026-01-22 23:45:00,C2.6,C
2026-01-23 00:16:00,C4.2,C
2026-01-23 01:11:00,C3.2,C
2026-01-23 01:29:00,C3.5,C
2026-01-23 01:29:00,C3.4,C
2026-01-23 01:51:00,C3.8,C
2026-01-23 02:04:00,C3.7,C
2026-01-23 05:27:00,C2.7,C
2026-01-23 06:01:00,C2.6,C
2026-01-23 09:29:00,C1.8,C
2026-01-23 10:05:00,C2.5,C
2026-01-23 12:59:00,C3.4,C
2026-01-23 19:35:00,C1.9,C
2026-01-23 21:36:00,C4.1,C
2026-01-23 21:41:00,C5.9,C
2026-01-23 22:18:00,C5.9,C
2026-01-24 05:51:00,C3.7,C
2026-01-24 08:20:00,C4.1,C
2026-01-24 09:35:00,C2.2,C
2026-01-24 12:08:00,C2.1,C
2026-01-24 18:31:00,C2.7,C
2026-01-24 20:05:00,C2.1,C
2026-01-24 21:09:00,C2.5,C
2026-01-25 03:35:00,C2.1,C
2026-01-25 04:04:00,C2.5,C
2026-01-25 04:52:00,C1.8,C
2026-01-25 07:54:00,C1.7,C
2026-01-25 10:12:00,C6.3,C
2026-01-25 15:36:00,C4.5,C
2026-01-25 16:59:00,C2.3,C
2026-01-25 17:14:00,C2.1,C
2026-01-25 17:45:00,C2.2,C
2026-01-25 19:06:00,C3.1,C
2026-01-25 19:31:00,C2.9,C
2026-01-25 20:59:00,C4.9,C
2026-01-25 21:36:00,C7.9,C
2026-01-25 22:05:00,C3.1,C
2026-01-25 23:07:00,C2.6,C
2026-01-26 02:09:00,C2.9,C
2026-01-26 02:37:00,C2.9,C
2026-01-26 04:06:00,C1.7,C
2026-01-26 12:20:00,C1.8,C
2026-01-26 13:25:00,C8.8,C
2026-01-26 14:03:00,C2.3,C
2026-01-26 14:15:00,C1.9,C
2026-01-26 16:18:00,C1.4,C
2026-01-26 16:41:00,C1.5,C
2026-01-26 18:16:00,C1.6,C
2026-01-26 20:01:00,C1.5,C
2026-01-26 21:12:00,C2.4,C
2026-01-26 23:13:00,C5.0,C
2026-01-27 02:30:00,C1.9,C
2026-01-27 04:06:00,C2.9,C
2026-01-27 09:15:00,C3.2,C
2026-01-27 09:39:00,C3.0,C
2026-01-27 13:03:00,C2.0,C
2026-01-27 23:30:00,C2.7,C
2026-01-28 07:00:00,C1.3,C
2026-01-28 11:16:00,C1.1,C
2026-01-28 12:18:00,C1.5,C
2026-01-28 21:19:00,C1.3,C
2026-01-29 03:27:00,B9.3,B
2026-01-29 14:04:00,C1.3,C
2026-01-29 14:05:00,C1.2,C
2026-01-29 21:31:00,C1.2,C
2026-01-29 22:37:00,C1.5,C
2026-01-30 03:51:00,C1.4,C
2026-01-30 05:08:00,C1.4,C
2026-01-30 05:23:00,C1.5,C
2026-01-30 07:07:00,C1.6,C
2026-01-30 08:43:00,C1.7,C
2026-01-30 10:26:00,C1.9,C
2026-01-30 13:19:00,C1.7,C
2026-01-30 19:45:00,C1.2,C
2026-01-30 20:52:00,C1.1,C
2026-01-30 23:36:00,C1.3,C
2026-01-30 23:57:00,C1.3,C
2026-01-31 00:37:00,C1.7,C
2026-01-31 01:28:00,C1.5,C
2026-01-31 01:41:00,C2.0,C
2026-01-31 02:44:00,C3.1,C
2026-01-31 03:10:00,C2.5,C
2026-01-31 04:25:00,C4.9,C
2026-01-31 04:49:00,C6.0,C
2026-01-31 08:31:00,C3.6,C
2026-01-31 10:35:00,C6.2,C
2026-01-31 12:55:00,C6.1,C
2026-01-31 13:47:00,C3.1,C
2026-01-31 14:44:00,C4.5,C
2026-01-31 14:54:00,C4.9,C
2026-01-31 15:56:00,C3.5,C
2026-01-31 16:23:00,C2.8,C
2026-01-31 17:22:00,C2.9,C
2026-01-31 17:37:00,C3.1,C
2026-01-31 18:21:00,C7.0,C
2026-01-31 19:08:00,C7.8,C
2026-01-31 20:20:00,C5.7,C
2026-01-31 22:09:00,C3.0,C
2026-01-31 23:50:00,C3.2,C
2026-02-01 01:52:00,M1.7,M
2026-02-01 03:31:00,M1.0,M
2026-02-01 04:08:00,M1.9,M
2026-02-01 05:05:00,C8.4,C
2026-02-01 06:59:00,C5.4,C
2026-02-01 07:13:00,C5.4,C
2026-02-01 09:53:00,M6.6,M
2026-02-01 10:28:00,M2.4,M
2026-02-01 10:28:00,M2.5,M
2026-02-01 11:52:00,M6.7,M
2026-02-01 12:25:00,X1.0,X
2026-02-01 12:44:00,M5.8,M
2026-02-01 14:18:00,M1.5,M
2026-02-01 15:37:00,M1.5,M
2026-02-01 15:57:00,M5.1,M
2026-02-01 16:47:00,M1.2,M
